
=== PC=0 DETECTED at cycle 4598119562 ===
core_st=0 next_st=1 mmu_st=0 bus_addr=0x80780660
fe_instr=0x00008067

--- Register file ---
  x0  = 0x00000000  x1  = 0x00000000  x2  = 0xc1c81ad0  x3  = 0xc1909498
  x4  = 0xc1c8a440  x5  = 0x74b96130  x6  = 0x00000e38  x7  = 0x000000c1
  x8  = 0x00000000  x9  = 0x00000000  x10 = 0x0000000e  x11 = 0x001fca60
  x12 = 0x00000ff0  x13 = 0xc1c9701e  x14 = 0x00000ff0  x15 = 0x00040000
  x16 = 0xc1c09d80  x17 = 0x00000cc0  x18 = 0x00000000  x19 = 0xc157b4e8
  x20 = 0x00000000  x21 = 0xc0233a88  x22 = 0x00000000  x23 = 0x00000002
  x24 = 0x0000003a  x25 = 0x0024b148  x26 = 0x00000000  x27 = 0x00000000
  x28 = 0x0000ff00  x29 = 0x00000e38  x30 = 0x00ff0000  x31 = 0x00000e39

  [4598097911] pc=0xc0355f6c st=6 next=0 instr=0x01451513 bus=0x80755f6c ra=0xc035501c
  [4598097916] pc=0xc0355f70 st=6 next=0 instr=0x01b50533 bus=0x80755f70 ra=0xc035501c
  [4598097921] pc=0xc0355f74 st=6 next=0 instr=0x00785d93 bus=0x80755f74 ra=0xc035501c
  [4598097926] pc=0xc0355f78 st=6 next=0 instr=0x01981813 bus=0x80755f78 ra=0xc035501c
  [4598097931] pc=0xc0355f7c st=6 next=0 instr=0x01b80833 bus=0x80755f7c ra=0xc035501c
  [4598097936] pc=0xc0355f80 st=6 next=0 instr=0x006c8333 bus=0x80755f80 ra=0xc035501c
  [4598097941] pc=0xc0355f84 st=6 next=0 instr=0x01030333 bus=0x80755f84 ra=0xc035501c
  [4598097948] pc=0xc0355f88 st=6 next=0 instr=0xf7042483 bus=0x82081860 ra=0xc035501c
  [4598097953] pc=0xc0355f8c st=6 next=0 instr=0x00e34733 bus=0x80755f8c ra=0xc035501c
  [4598097958] pc=0xc0355f90 st=6 next=0 instr=0x01075d93 bus=0x80755f90 ra=0xc035501c
  [4598097963] pc=0xc0355f94 st=6 next=0 instr=0x01071713 bus=0x80755f94 ra=0xc035501c
  [4598097968] pc=0xc0355f98 st=6 next=0 instr=0x01b70733 bus=0x80755f98 ra=0xc035501c
  [4598097973] pc=0xc0355f9c st=6 next=0 instr=0x011fc8b3 bus=0x80755f9c ra=0xc035501c
  [4598097978] pc=0xc0355fa0 st=6 next=0 instr=0x01c48e33 bus=0x80755fa0 ra=0xc035501c
  [4598097983] pc=0xc0355fa4 st=6 next=0 instr=0x00ef8fb3 bus=0x80755fa4 ra=0xc035501c
  [4598097990] pc=0xc0355fa8 st=6 next=0 instr=0xf4c42483 bus=0x8208183c ra=0xc035501c
  [4598097995] pc=0xc0355fac st=6 next=0 instr=0x010fc833 bus=0x80755fac ra=0xc035501c
  [4598098000] pc=0xc0355fb0 st=6 next=0 instr=0x00c85d93 bus=0x80755fb0 ra=0xc035501c
  [4598098005] pc=0xc0355fb4 st=6 next=0 instr=0x01481813 bus=0x80755fb4 ra=0xc035501c
  [4598098010] pc=0xc0355fb8 st=6 next=0 instr=0x01b80833 bus=0x80755fb8 ra=0xc035501c
  [4598098015] pc=0xc0355fbc st=6 next=0 instr=0x00648333 bus=0x80755fbc ra=0xc035501c
  [4598098020] pc=0xc0355fc0 st=6 next=0 instr=0x01030333 bus=0x80755fc0 ra=0xc035501c
  [4598098025] pc=0xc0355fc4 st=6 next=0 instr=0x00ae0e33 bus=0x80755fc4 ra=0xc035501c
  [4598098030] pc=0xc0355fc8 st=6 next=0 instr=0x00e34733 bus=0x80755fc8 ra=0xc035501c
  [4598098035] pc=0xc0355fcc st=6 next=0 instr=0x00ce4633 bus=0x80755fcc ra=0xc035501c
  [4598098040] pc=0xc0355fd0 st=6 next=0 instr=0x00875d93 bus=0x80755fd0 ra=0xc035501c
  [4598098045] pc=0xc0355fd4 st=6 next=0 instr=0x01cb0e33 bus=0x80755fd4 ra=0xc035501c
  [4598098050] pc=0xc0355fd8 st=6 next=0 instr=0x01871713 bus=0x80755fd8 ra=0xc035501c
  [4598098055] pc=0xc0355fdc st=6 next=0 instr=0x01b70733 bus=0x80755fdc ra=0xc035501c
  [4598098060] pc=0xc0355fe0 st=6 next=0 instr=0x00be0e33 bus=0x80755fe0 ra=0xc035501c
  [4598098065] pc=0xc0355fe4 st=6 next=0 instr=0x00ef8fb3 bus=0x80755fe4 ra=0xc035501c
  [4598098070] pc=0xc0355fe8 st=6 next=0 instr=0x00ee4733 bus=0x80755fe8 ra=0xc035501c
  [4598098075] pc=0xc0355fec st=6 next=0 instr=0x01075d93 bus=0x80755fec ra=0xc035501c
  [4598098080] pc=0xc0355ff0 st=6 next=0 instr=0x01071713 bus=0x80755ff0 ra=0xc035501c
  [4598098085] pc=0xc0355ff4 st=6 next=0 instr=0x01b70733 bus=0x80755ff4 ra=0xc035501c
  [4598098090] pc=0xc0355ff8 st=6 next=0 instr=0x0078dd93 bus=0x80755ff8 ra=0xc035501c
  [4598098095] pc=0xc0355ffc st=6 next=0 instr=0x01989893 bus=0x80755ffc ra=0xc035501c
  [4598098105] pc=0xc0356000 st=6 next=0 instr=0x01b888b3 bus=0x80756000 ra=0xc035501c
  [4598098110] pc=0xc0356004 st=6 next=0 instr=0x011f0f33 bus=0x80756004 ra=0xc035501c
  [4598098117] pc=0xc0356008 st=6 next=0 instr=0xf5c42483 bus=0x8208184c ra=0xc035501c
  [4598098122] pc=0xc035600c st=6 next=0 instr=0x00ff47b3 bus=0x8075600c ra=0xc035501c
  [4598098127] pc=0xc0356010 st=6 next=0 instr=0x0107dd93 bus=0x80756010 ra=0xc035501c
  [4598098132] pc=0xc0356014 st=6 next=0 instr=0x01079793 bus=0x80756014 ra=0xc035501c
  [4598098137] pc=0xc0356018 st=6 next=0 instr=0x01b787b3 bus=0x80756018 ra=0xc035501c
  [4598098142] pc=0xc035601c st=6 next=0 instr=0x00f282b3 bus=0x8075601c ra=0xc035501c
  [4598098147] pc=0xc0356020 st=6 next=0 instr=0x01d48eb3 bus=0x80756020 ra=0xc035501c
  [4598098154] pc=0xc0356024 st=6 next=0 instr=0xf6c42483 bus=0x8208185c ra=0xc035501c
  [4598098159] pc=0xc0356028 st=6 next=0 instr=0x0112c8b3 bus=0x80756028 ra=0xc035501c
  [4598098164] pc=0xc035602c st=6 next=0 instr=0x00c8dd93 bus=0x8075602c ra=0xc035501c
  [4598098169] pc=0xc0356030 st=6 next=0 instr=0x01489893 bus=0x80756030 ra=0xc035501c
  [4598098174] pc=0xc0356034 st=6 next=0 instr=0x01b888b3 bus=0x80756034 ra=0xc035501c
  [4598098179] pc=0xc0356038 st=6 next=0 instr=0x01e48f33 bus=0x80756038 ra=0xc035501c
  [4598098184] pc=0xc035603c st=6 next=0 instr=0x011f0f33 bus=0x8075603c ra=0xc035501c
  [4598098189] pc=0xc0356040 st=6 next=0 instr=0x00ff47b3 bus=0x80756040 ra=0xc035501c
  [4598098194] pc=0xc0356044 st=6 next=0 instr=0x0087dd93 bus=0x80756044 ra=0xc035501c
  [4598098199] pc=0xc0356048 st=6 next=0 instr=0x01879793 bus=0x80756048 ra=0xc035501c
  [4598098204] pc=0xc035604c st=6 next=0 instr=0x01b787b3 bus=0x8075604c ra=0xc035501c
  [4598098209] pc=0xc0356050 st=6 next=0 instr=0x00f282b3 bus=0x80756050 ra=0xc035501c
  [4598098216] pc=0xc0356054 st=6 next=0 instr=0xf7442483 bus=0x82081864 ra=0xc035501c
  [4598098221] pc=0xc0356058 st=6 next=0 instr=0x0112c8b3 bus=0x80756058 ra=0xc035501c
